source_video,split,sha256,status
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01837.avi,train,d1c143b52d4db77f860335b92c8b4b8dee175d8cb38d9a09b63d1259404d34ff,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01677.avi,train,64fd64580aecf19c13f3f8318608eb706a1cf27c3ea47f66c85fb3faf2ef428b,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01652.avi,train,c2137df13a6a4e69745b04b5567b58b1ea8fc2069f398a354b751fafd93a64fc,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01839.avi,train,fae101ec1e78f4c5d3907d2c3b93ffe1d0431f127e578b5989e09fc40bbc299e,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00094.avi,train,d2769ecf96fa8f854077dc44db471dae9d7481aa05121f5fbdaa82b180b47181,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01823.avi,train,7eb3f033a2c008485256eed3cc5dd868c2c112fed2a265d13d8ce4b8dd9f4c97,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01672.avi,train,6fe27aac4b62958eb4ae9e9e578fb28fc21e67cd525da3cc31e572d8f8c4a1e4,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080516x01638.avi,train,44aa33e51ac3c15e85741c6431dfd3adf889360a6057312081b3f1461120e2ce,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080618x00080.avi,train,10dd6d4cb07834cb87cb4058ec12d3dbe782b40639e80546e5d4b060f9608d6d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00062.avi,train,112cce4cd661c4043c85d1cd89e952848e22f4e8838026f1738454dd0bbd1d8d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00058.avi,train,d8666a3aa1b476882d164254948f3ae7d568e5c1c7d9116c48c81621072c1af6,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01676.avi,train,6d02e278ed401c702eef9a3423103c764ad81bac63bc402198a90cac227fc376,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080613x00013.avi,train,fdba7b748280fb408037ae361a19580bc951cf597c1def8c76f0b975091d0037,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00097.avi,train,ea676e1b23c42ecc66efbc5760a4cc756675eb44c985846733e9d19f2eaa0a06,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01842.avi,train,4a196c3c7bf416f172dc2a5a64ff707abe11f2e6225bb4add8aa9992eea2b6e6,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01673.avi,train,a60c1e894d128e52aa1cc63abedf050eae5cb6313af88953bb786b6775c28781,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00074.avi,train,4cf7d13b1e696a2c6f0742d42b43de33bbc5bf39e71759659d3eda798e11c354,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080613x00011.avi,train,8cb24eacad04827dff6652bba8d08bb17031ff4f45531e6536ace941c9eb8c34,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01872.avi,train,364bc4533d24a71b17924aa027b5a7354b1ece0caf995a639de60f1029a2af91,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00029.avi,train,a47e38b21421625e3a67bcc1f8bdfc4b68b8e5102586eb749e6e8fa879121620,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01866.avi,train,4705ffc0c6e4759840dfae7288d29382a75703f63060f4ef40f20cbb3de44e3c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00067.avi,train,e917c613a6f1fd7a8724190b64a1af4d1cb17d2b26628f2ae3b61f8e25772a9c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00104.avi,train,7e48b0ecaed4acea8976a6b91b0f695a0b52d39f3c72a9f2e16e3fb571ee6c4a,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01671.avi,train,70594ef3f5bb8b300800305c90133ad0bca1366709bf01e09e3a4b9d30f80bed,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01897.avi,train,58721351fa070e76c3a549396b36e1009815c90ec5553300a154fb7d61314380,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080614x00019.avi,train,213ebf56c61ac5a00dd4dba97b5dd61edb4e3cd5bbb4694002f996b43ca52098,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01864.avi,train,ac95c3f90e6737b6fd318bc384331e10e300187157cc9202734e45d050ec92d0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01687.avi,train,ddf9273703ca0833eed8843dd8d915f2d3ba603498b922bff0d546d7b53d4e79,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080614x00027.avi,train,c5d8103a7dffc888ca12f904522b050b280531591653ccb7c3025cb9774973ed,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00028.avi,train,0978e13346c60eafe21f33dd527ae9d57df9fd64e5bc528df96971cc6337fb02,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01836.avi,train,e37b9537eb3e7b9276bafac49450bb989c465728d38f23c1c8c4e6af01650504,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01885.avi,train,70132a36fe86604409e3fc87dbb87f538c0309bce9886d0582addaa655e84102,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00061.avi,train,a31cec903a9fa2e668fee95fb3a20e1971878aebf7af6802433597cd422ebca8,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01896.avi,train,a2e9d06fd4ca72b58027b6f07bb299e2127e623b79212b0e52d4c396a11ccdd7,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080614x00020.avi,train,119342e576c3618b1f626caddccad7882a357ea883e7c33d05120f9bcab21f9f,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x01909.avi,train,5934a417eda9a56cb486ca3584d6a96eb23ea2461ab036b18d71e3ef23aa2404,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01658.avi,train,7d70bd2b2bc7aa8f9bdcb35b8ea354fd0a7e81ee080a0d7facd6cc624598efcd,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01907.avi,train,65f8c2cf4459a3b3c5eed8ef98cb0f3cd2264ada064f38367ff12b8c7eef35e0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01871.avi,train,00b2410f1702b021a5c88f393a26a2a395063beede4240960cbe681503a27718,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080618x00081.avi,train,635c505a45cfc5c9ff962be0272b8c373c2e88b8e06e329665e3f0016e5d136f,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00037.avi,train,7a5db16dba9381f4bc2c779056d2c7f5684e42db2d40f9bf35ceea7f060c2156,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080614x00025.avi,train,95a79c7a8eaaa58ca8ecf81ff8e8068985c55abab4387b29358ba32b501de297,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01890.avi,train,ef186b923525d1af4bed697c985d08f2e6ea77e906186ca6112898eedb1be141,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01824.avi,train,62c7ba4f596b1a72a4fcb44ba2e7e3869bf9c3b39c3a69c66b61c01b88606336,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00098.avi,train,6f3979f8b1d1e950bc797641d530be9b931ea87c9654dcdd9581aacbf5dd8b4b,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080620x00107.avi,train,4a885c3fca22bb60b89f33e1dd3adcf3a00befcbdc7b5eff88c808354169b00d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01685.avi,train,7dbdbe8015e0906e955fe30c09859b5e077f3fe31205dcedbb0d5f813cfb0ec2,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01690.avi,train,59a926ad9d8f43f66d6a0c9f58859ee5c8d31add87e7f9ac0c3b9ad8a7f9201c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01886.avi,train,6ea6967ac82d1c07db3ab641a530f7fbab3603529ed8e399dd5fb7c34c93b240,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00071.avi,train,acf08c67c3a6fdb32c329fb6e76fd26df4b8f10c7c60700c326e7ac563b8b637,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01898.avi,train,deaac604f20565eda94f2c3e1506d801aa33c6409ac9795f31546c57aa389444,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080614x00023.avi,train,c7dc6c0652af370c442b5c735a4e3bfbcbc286b33917bbe5342c607bffc6d68f,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080608x01855.avi,train,2e0eb3cd91a85f2c0953408bf4532840dc0425c8910d6dc07babf173fb733034,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01892.avi,train,39ccedc6b81f7be11bc71490c87bbd7e90ea968bd92a56ecc7487c5c6b43ba76,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01822.avi,train,2a05796b018f2af4e049007553e927ece02ee11b4245f44e0c11eff2f3594bf0,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00101.avi,train,d82a5fcacaa8a11f317b9e1a8260f39c8bd274ef827b6485bf248dbe495103f2,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00100.avi,train,78bf0bf64fea043792616ee9168a60dc0ff291084733b9cc8496a2b6b4af0eb4,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080518x01675.avi,train,cc0f87663689596bb83f35597e2ad51664033fb4526e2ab69232d59b84792cfa,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00045.avi,train,04aea9dda2585f227c382b78de0d4c44426d4cc404595588e027b1b7bf2669e2,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01861.avi,train,065db73a334e2a9b2ad2d4762022dd37a601bce68a932f41bae6e6a617c94102,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01889.avi,train,fa979072d9546a6f8ac6e4d16f7490ba6c217bfe27a8d5a6ecae9e2946400f9d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00041.avi,train,8289b787c3020c2f5093cb5e469755f0535c45da59fbf32af2f873c35713e666,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00033.avi,train,d8e390489746b966e3e4acb045746727db41c4f17e147bd41a99aa875f5088c3,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01693.avi,train,b0d4fcf799c3ae5be37f5823de7c96ab5dea6833017a4c2c72984cdd69e238b4,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01655.avi,train,f8f9c3ca1c52454c15224d9216890ca006ef640caedabb34ee081ecc2775fd96,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080612x01912.avi,train,f76cf57351dc5721d6a9390b1fdc2e14aeaf47e205acbb68133a67ffd64b59a2,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080609x01862.avi,train,c5cd79a8514e275153617761ba900a2f8f6648e7b4b53b341ac1d1c21d5639de,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01840.avi,train,f425a85869596459b6010728e763f132d31ec371418e97062a5e7c6df5ff0bd4,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00091.avi,train,decb80c2545123c5999ece0b88f4042fc1669f48cd2c31d5de0774b2cc2ca518,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080614x00022.avi,train,adb0eb173d9601793ab758342b1c4eb5cd5e2d6d80aacf37650dea8335363575,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01653.avi,train,a70712632b4dc6f6f3d895fab4e783be1d5f5698ead70e63c24b4d50ced751e7,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080607x01843.avi,train,8c57c316db3ec7603cefe5057d0e6ccd2d7e619bedb1307d87fcb5bac91c65bf,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00072.avi,train,4f9871f5b4fde915136d4c5148dbb1eae86f8a87d539fe43b4405fa1591d717c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01905.avi,train,b3649c611815c5a1b83ffb6e6554f4894be6972f71a74e895f873628525f288a,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01829.avi,train,023e83e3ac14a6f27ae8a79ce187b0ead66d1ff0c055cd4b7456807854135559,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080613x00017.avi,train,ee9dd2980d2fbbbab3e84fc479951c33b7e27495996819d943e86822491c3948,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01879.avi,train,82048cc3a964bce85c0eb6c22c49d0eb5bda5bf2ce4a89c9b1603d9491bca3cc,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080617x00064.avi,train,62556133cf414f94ae00bc0b808bd70d0e100c920ccc4de6165342e2f10c494c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080619x00103.avi,train,84fef0e4a6cdcade17cf9eafeec6aadc19169109bfdf3e347ed8978fd45f8232,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080611x01899.avi,train,025276434f2c2a9dc5fa80caf520e05e84002d53d42a5d26d1853d0eb0a3b98d,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01682.avi,train,d7999117cda831bbeb856c491c46726ca1421841f25f945a5f29958464e24de2,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01657.avi,train,d71568b640048f42e35b13b8da17f66be59fc8aca30d384b9919cebbf8a0d743,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01828.avi,train,8d52594e0849b3a044fb8888e5daa5f84f4669a580f6f66a443140ef43a9fed6,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01692.avi,train,c58a25fdd2c19d031feb3562de5ca46773b48e2d633348c9576ae269ffa9a2e1,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080608x01850.avi,train,0f844c7dd072b4d15201fb682033c273a544888672654ae9d26b80ea8fc25dfa,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080608x01854.avi,train,dc9c86d8045e929ec744313712f152b68a09c2fa05b205f968a88a8396570ce4,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080519x01680.avi,train,0aa6a3c9314b391514250fb1e6ef5b43f1c6fc27c9e277e30c3ec908e219751c,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080608x01853.avi,train,829464ce232b5f5e02bb27b69b57e87c59d0c6f32dffd99ef0bf2eaa9731e7db,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080613x00014.avi,train,4ea5deccbf107af14510c12fb6254be2ecf4b1229e3a3210355c0decac2e4d90,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080610x01877.avi,train,79fb18893035c8a649d6a46eba9a4dbe4de9bc58ad9173b24bc8100722fdfea3,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00060.avi,train,40710dc2a3fb9e7d642cb75160ae9a15f23a1289565c05d26776caf1cbe7cc37,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080616x00053.avi,train,119fd61a2330a372474406de20e36cf219837aa906c9100b97c82521eb44074b,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080517x01664.avi,train,6dc7be056baf060a5f445d367018e135d3de671bd77439d03328cb0d8125cc53,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080618x00087.avi,train,d538976eb007f94a35de637feb827aeb485b334e732b2d293c69f562c126ac9f,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080615x00034.avi,train,a0cd9a75bb408a97133801cedbaca4a3124bf5aa6b9405b31be3acf0293ac8a2,used
D:\Users\L1\Downloads\archive\video\cctv052x2004080606x01834.avi,train,8969305e415c5f323902d273fabc206a071d5cc2b43fd1c40fe24faeb258bc9c,used
